負責部門,業務系統,風險程度,2020~2021自行查核次數,業務系統最後自行查核日期,業務系統負責人員,業務系統自行查核結果,最後稽核日期,稽核人員
商業金融處,信貸系統,5,8,2021/1/11,龔永翰,NO,2020/1/31,馮偉柏
商業金融處,信貸系統,5,8,2021/3/24,曹世凱,YES,2020/1/31,馮偉柏
商業金融處,信貸系統,5,8,2020/11/22,熊強嘉,YES,2020/1/31,馮偉柏
商業金融處,信貸系統,5,8,2021/2/14,方裕,YES,2020/1/31,馮偉柏
商業金融處,信貸系統,5,8,2020/7/14,史慶曉,YES,2020/1/31,馮偉柏
商業金融處,信貸系統,5,8,2021/5/29,蘇怡家,NO,2020/1/31,馮偉柏
商業金融處,信貸系統,5,8,2021/4/1,2020/2/27,,2020/1/31,馮偉柏
商業金融處,房貸系統,5,20,2021/5/22,高立銘,YES,2020/9/22,蔣國
商業金融處,房貸系統,5,20,2020/12/29,崔瑩霖,YES,2020/9/22,蔣國
商業金融處,房貸系統,5,20,2021/6/30,賈菁真,YES,2020/9/22,蔣國
商業金融處,房貸系統,5,20,2020/6/28,呂賢育,NO,2020/9/22,蔣國
商業金融處,房貸系統,5,20,鐘英銘,,YES,2020/9/22,蔣國
商業金融處,房貸系統,5,20,2020/6/3,常郁曉,YES,2020/9/22,蔣國
商業金融處,房貸系統,5,20,2021/1/26,賀智,YES,2020/9/22,蔣國
商業金融處,房貸系統,5,20,,2021/4/4,YES,2020/9/22,蔣國
商業金融處,房貸系統,5,20,2020/11/30,郭真凱,YES,2020/9/22,蔣國
商業金融處,房貸系統,5,20,2020/2/8,毛伶宜,YES,2020/9/22,蔣國
商業金融處,房貸系統,5,20,2020/9/18,牛永淑,YES,2020/9/22,蔣國
商業金融處,房貸系統,,20,2020/7/12,金元瑜,NO,2020/9/22,蔣國
商業金融處,房貸系統,5,20,2021/1/9,尹瑩,YES,2020/9/22,蔣國
商業金融處,房貸系統,5,20,孔柏,薛中英,NO,2020/9/22,蔣國
商業金融處,房貸系統,5,20,2020/5/8,石曉瑞,,2020/9/22,蔣國
商業金融處,房貸系統,5,20,2020/7/24,2020/9/6,,2020/9/22,蔣國
商業金融處,房貸系統,5,20,2020/2/17,秦強伶,YES,2020/9/22,蔣國
商業金融處,房貸系統,5,20,2020/2/22,劉美信,YES,2020/9/22,蔣國
商業金融處,房貸系統,5,20,,王龍菁,YES,2020/9/22,蔣國
商業金融處,房貸系統,5,20,2020/3/16,趙美,YES,2020/9/22,蔣國
企業金融處,企業放貸系統,5,10,2020/11/5,熊信曉,YES,2021/1/26,夏民郁
企業金融處,企業放貸系統,5,10,2021/6/8,林聖弘,YES,2021/1/26,夏民郁
企業金融處,企業放貸系統,5,10,2020/6/18,邱智惠,YES,2021/1/26,夏民郁
企業金融處,企業放貸系統,5,10,2020/6/26,梁心琪,YES,2021/1/26,夏民郁
企業金融處,企業放貸系統,5,10,2020/12/18,牛弘翔,YES,2021/1/26,夏民郁
企業金融處,企業放貸系統,5,10,2021/4/28,龔美立,YES,2021/1/26,夏民郁
企業金融處,企業放貸系統,5,10,2021/1/5,,YES,2021/1/26,夏民郁
企業金融處,企業放貸系統,5,10,2021/3/8,方昌忠,YES,2021/1/26,夏民郁
企業金融處,企業放貸系統,5,10,2021/5/18,毛美,YES,2021/1/26,夏民郁
企業金融處,企業放貸系統,5,10,2021/5/20,賈倫郁,NO,2021/1/26,夏民郁
企業金融處,利率系統,1,19,2020/1/13,,,2020/7/28,馬政萍
企業金融處,利率系統,1,19,2020/12/29,錢心穎,YES,2020/7/28,馬政萍
企業金融處,利率系統,1,19,2020/4/8,方忠中,NO,2020/7/28,馬政萍
企業金融處,利率系統,1,19,2021/6/9,,YES,2020/7/28,馬政萍
企業金融處,利率系統,1,19,2020/5/22,傅惠芳,,2020/7/28,馬政萍
企業金融處,利率系統,1,19,2020/7/19,金婷真,YES,2020/7/28,馬政萍
企業金融處,利率系統,1,19,,侯秋淑,YES,2020/7/28,馬政萍
企業金融處,利率系統,1,19,2020/1/12,錢如正,YES,2020/7/28,馬政萍
企業金融處,利率系統,1,19,2021/3/26,趙正怡,NO,2020/7/28,馬政萍
企業金融處,利率系統,1,19,2020/8/24,,NO,2020/7/28,馬政萍
企業金融處,利率系統,1,19,曹玲安,李雯,YES,2020/7/28,馬政萍
企業金融處,利率系統,1,19,2020/1/26,龔彬家,YES,2020/7/28,馬政萍
企業金融處,利率系統,1,19,2021/3/15,丁盈婷,YES,2020/7/28,馬政萍
企業金融處,利率系統,1,19,2020/4/12,,YES,2020/7/28,馬政萍
企業金融處,利率系統,1,19,2020/2/26,蔣慶雯,YES,2020/7/28,馬政萍
企業金融處,利率系統,1,19,2020/4/26,洪穎孟,YES,2020/7/28,馬政萍
企業金融處,利率系統,1,19,2020/7/27,潘佳聖,YES,2020/7/28,馬政萍
企業金融處,利率系統,1,19,2020/11/23,謝嘉,,2020/7/28,馬政萍
企業金融處,利率系統,1,19,2020/5/24,2020/7/16,YES,2020/7/28,馬政萍
數位暨科技研發處,OCR系統,5,8,2021/11/2,孟彬珊,YES,2020/12/25,汪敏中
數位暨科技研發處,OCR系統,5,8,2021/12/26,,,2020/12/25,汪敏中
數位暨科技研發處,OCR系統,5,8,2021/9/18,吳政怡,YES,2020/12/25,汪敏中
數位暨科技研發處,OCR系統,5,8,2021/10/2,邱秋宗,YES,2020/12/25,汪敏中
數位暨科技研發處,OCR系統,,8,2021/6/21,劉宏芬,YES,2020/12/25,汪敏中
數位暨科技研發處,OCR系統,5,8,2021/4/24,陳瑞成,NO,2020/12/25,汪敏中
數位暨科技研發處,OCR系統,5,8,2021/2/15,姜育曉,NO,2020/12/25,汪敏中
數位暨科技研發處,OCR系統,5,8,2021/7/4,鄒雯欣,YES,2020/12/25,汪敏中
數位暨科技研發處,推薦系統,1,19,2021/5/1,,YES,2021/2/27,董榮仁
數位暨科技研發處,推薦系統,1,19,2021/1/6,賴傑萍,YES,2021/2/27,董榮仁
數位暨科技研發處,推薦系統,1,19,2020/11/29,林郁偉,YES,2021/2/27,董榮仁
數位暨科技研發處,推薦系統,1,19,2021/5/18,邵俊靜,YES,2021/2/27,董榮仁
數位暨科技研發處,推薦系統,1,19,2020/7/11,,YES,2021/2/27,董榮仁
數位暨科技研發處,推薦系統,1,19,2021/3/27,高郁家,YES,2021/2/27,董榮仁
數位暨科技研發處,推薦系統,,19,2020/4/22,楊珊華,YES,2021/2/27,董榮仁
數位暨科技研發處,推薦系統,1,19,2021/5/12,,YES,2021/2/27,董榮仁
數位暨科技研發處,推薦系統,1,19,2021/2/26,2020/3/1,YES,2021/2/27,董榮仁
數位暨科技研發處,推薦系統,1,19,2021/3/17,康豪國,YES,2021/2/27,董榮仁
數位暨科技研發處,推薦系統,1,19,謝育,康豪憲,NO,2021/2/27,董榮仁
數位暨科技研發處,推薦系統,1,19,2020/10/31,丁聖賢,YES,2021/2/27,董榮仁
數位暨科技研發處,推薦系統,1,19,2020/9/30,董智裕,YES,2021/2/27,董榮仁
數位暨科技研發處,推薦系統,1,19,2020/7/18,姚立曉,YES,2021/2/27,董榮仁
數位暨科技研發處,推薦系統,1,19,2020/9/20,汪安如,YES,2021/2/27,董榮仁
數位暨科技研發處,推薦系統,1,19,2021/3/4,潘靜青,YES,2021/2/27,董榮仁
數位暨科技研發處,推薦系統,1,19,2020/5/2,吳政鴻,YES,2021/2/27,董榮仁
數位暨科技研發處,推薦系統,1,19,2021/6/4,呂昌靜,YES,2021/2/27,董榮仁
數位暨科技研發處,推薦系統,1,19,2020/9/19,沈銘伶,YES,2021/2/27,董榮仁
